TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
OR51L1	0	0
OR51M1	0	0
OR51Q1	0	0
OR51S1	0	0
OR51T1	0	0
OR51V1	0	0
OR52A1	0	0
OR52A5	0	0
OR52B2	0	0
OR52B4	0	1
OR52B6	0	0
OR52D1	0	0
OR52E2	0	0
OR52E4	0	0
OR52E6	0	0
OR52E8	0	0
OR52H1	0	0
OR52I1	0	1
OR52I2	0	2
OR52J3	0	0
OR52K1	0	0
OR52K2	0	0
OR52L1	0	0
OR52M1	0	0
OR52N1	1	0
OR52N2	8	1
OR52N4	2	7
OR52N5	0	0
OR52R1	0	0
OR52W1	0	1
OR56A1	0	0
OR56A3	0	1
OR56A4	0	0
OR56A5	0	0
OR56B1	0	1
OR56B4	1	2
OR5A1	0	1
OR5A2	0	0
OR5AC2	0	0
OR5AK2	0	0
OR5AN1	1	0
OR5AP2	0	0
OR5AR1	0	0
OR5AS1	0	0
OR5AU1	1	0
OR5B12	0	0
OR5B17	0	0
OR5B2	1	1
OR5B21	0	0
OR5B3	0	0
OR5C1	0	0
OR5D13	0	0
OR5D14	0	0
OR5D16	0	0
OR5D18	0	0
OR5F1	0	0
OR5H14	0	0
OR5H15	0	0
OR5H2	0	0
OR5H6	0	1
OR5I1	0	0
OR5J2	0	0
OR5K1	0	1
OR5K2	0	6
OR5K3	0	0
OR5K4	0	1
OR5L1	0	0
OR5L2	0	0
OR5M1	0	0
OR5M10	0	0
OR5M11	0	0
OR5M3	0	0
OR5M8	0	0
OR5M9	0	0
OR5P2	0	0
OR5P3	0	0
OR5T1	0	0
OR5T2	0	0
OR5T3	0	0
OR5V1	0	0
OR5W2	0	0
OR6A2	0	0
OR6B1	0	0
OR6B2	0	0
OR6B3	0	0
OR6C1	0	0
OR6C2	0	0
OR6C3	0	0
OR6C4	0	0
OR6C6	0	0
OR6C65	0	0
OR6C68	0	0
OR6C70	0	0
OR6C74	0	0
OR6C75	0	0
OR6C76	0	0
OR6F1	0	0
OR6J1	1	0
OR6K2	0	0
OR6K3	0	0
OR6K6	0	0
OR6M1	0	0
OR6N1	0	1
OR6N2	0	0
OR6P1	0	0
OR6Q1	0	0
OR6S1	0	0
OR6T1	1	0
OR6V1	0	0
OR6X1	0	0
OR6Y1	0	0
OR7A10	0	0
OR7A17	1	0
OR7A5	18	3
OR7C1	54	33
OR7C2	0	0
OR7D2	3	43
OR7D4	0	2
OR7E24	0	0
OR7G1	0	0
OR7G2	1	2
OR7G3	0	0
OR8A1	0	0
OR8B12	0	0
OR8B2	0	0
OR8B3	0	0
OR8B4	0	0
OR8B8	0	0
OR8D1	0	0
OR8D2	0	0
OR8D4	0	0
OR8G1	0	1
OR8G5	0	1
OR8H1	0	0
OR8H2	0	0
OR8H3	0	0
OR8I2	0	0
OR8J1	0	0
OR8J3	0	0
OR8K1	0	0
OR8K3	0	0
OR8K5	0	0
OR8S1	0	1
OR8U1	0	0
OR9A2	0	1
OR9A4	6	0
OR9G1	0	0
OR9G4	0	0
OR9I1	0	0
OR9K2	0	0
OR9Q1	0	0
OR9Q2	0	0
ORAI1	1911	814
ORAI2	4020	1041
ORAI3	303	614
ORC1	957	38
ORC2	1833	1622
ORC3	1076	1927
ORC4	1773	1623
ORC5	1740	876
ORC6	690	42
ORM1	2	7
ORM2	30	7
ORMDL1	1844	1809
ORMDL2	534	316
ORMDL3	3295	18924
OS9	11709	12592
OSBP	4118	5749
OSBP2	1226	205
OSBPL10	4021	764
OSBPL11	1466	1875
OSBPL1A	2185	8633
OSBPL2	7096	2741
OSBPL3	2734	568
OSBPL5	2343	1760
OSBPL6	978	346
OSBPL7	212	314
OSBPL8	3152	7867
OSBPL9	5085	5543
OSCAR	248	67
OSCP1	303	673
OSER1	2509	2010
OSGEP	1093	1222
OSGEPL1	250	463
OSGIN1	308	295
OSGIN2	2582	5338
OSM	121	15
OSMR	6997	3292
OSR1	587	636
OSR2	80	1207
OST4	7525	3038
OSTC	4868	2605
OSTF1	1697	2344
OSTM1	981	3489
OSTN	0	35
OTC	0	11
OTOA	12	14
OTOF	16	10
OTOG	67	0
OTOGL	6	16
OTOL1	0	0
OTOP1	0	0
OTOP2	1	2
OTOP3	0	0
OTOR	6	1
OTOS	3	0
OTP	1	0
OTUB1	3684	2126
OTUB2	183	86
OTUD1	1263	1570
OTUD3	883	762
OTUD4	2267	3070
OTUD5	3805	3866
OTUD6A	0	0
OTUD6B	620	556
OTUD7A	132	184
OTUD7B	4809	3339
OTULIN	3460	1089
OTX1	167	13
OTX2	16	0
OVCA2	0	0
OVCH1	0	12
OVCH2	4	25
OVGP1	68	86
OVOL1	629	26
OVOL2	636	66
OVOL3	14	3
OXA1L	3899	8213
OXCT1	3503	9622
OXCT2	23	3
OXER1	19	69
OXGR1	47	37
OXLD1	1256	501
OXNAD1	430	637
OXR1	3880	6126
OXSM	570	506
OXSR1	3781	3517
OXT	1	5
OXTR	356	6493
P2RX1	17	61
P2RX2	10	0
P2RX3	1	8
P2RX4	1968	915
P2RX5	101	6
P2RX6	1	64
P2RX7	100	177
P2RY1	78	182
P2RY10	11	48
P2RY11	197	54
P2RY12	1	511
P2RY13	12	290
P2RY14	2	446
P2RY2	865	236
P2RY4	6	0
P2RY6	120	113
P2RY8	206	270
P3H1	4476	1638
P3H2	1274	849
P3H3	2951	1000
P3H4	3831	531
P4HA1	14850	2346
P4HA2	5718	2203
P4HA3	754	97
P4HB	121071	19269
P4HTM	499	1093
PA2G4	3879	3995
PAAF1	451	1007
PABPC1	382299	57580
PABPC1L	1306	235
PABPC1L2A	8	0
PABPC1L2B	11	0
PABPC3	320	41
PABPC4	13832	6979
PABPC4L	112	159
PABPC5	47	253
PABPN1	310	407
PABPN1L	1	0
PACRG	8	35
PACRGL	515	588
PACS1	6896	5594
PACS2	2421	4772
PACSIN1	285	59
PACSIN2	2445	3499
PACSIN3	2868	473
PADI1	7	6
PADI2	12717	1431
PADI3	7	43
PADI4	1	3
PADI6	0	0
PAEP	12	22
PAF1	5275	2619
PAFAH1B1	7257	9898
PAFAH1B2	5532	6085
PAFAH1B3	3621	134
PAFAH2	912	1055
PAG1	980	532
PAGE1	0	0
PAGE2	0	0
PAGE2B	13	0
PAGE3	0	0
PAGE4	0	0
PAGE5	9	1
PAGR1	232	235
PAH	47	9
PAICS	6937	3302
PAIP1	6446	3520
PAIP2	4395	3108
PAIP2B	795	1205
PAK1	2398	1956
PAK1IP1	1876	753
PAK2	8871	7787
PAK3	490	480
PAK4	13008	811
PAK6	672	108
PALB2	593	666
PALD1	943	745
PALLD	15946	11368
PALM	495	8321
PALM3	19	17
PALMD	1007	14628
PAM	19865	23838
PAM16	172	145
PAMR1	182	4568
PAN2	403	1351
PAN3	1943	2944
PANK1	501	280
PANK2	1371	1532
PANK3	3460	4143
PANK4	854	810
PANO1	4	11
PANX1	1435	734
PANX2	376	27
PANX3	0	0
PAOX	14	19
PAPLN	240	1154
PAPOLA	8193	8943
PAPOLB	1	0
PAPOLG	1086	1222
PAPPA	476	219
PAPPA2	29	628
PAPSS1	11154	3981
PAPSS2	1903	2799
PAQR3	705	792
PAQR4	1170	111
PAQR5	568	49
PAQR6	284	18
PAQR7	861	433
PAQR8	255	584
PAQR9	1	15
PARD3	8796	3157
PARD3B	827	3368
PARD6A	89	123
PARD6B	864	241
PARD6G	757	473
PARG	1834	1193
PARK7	9278	11024
PARL	297	327
PARM1	527	5663
PARN	5469	2926
PARP1	12200	6504
PARP10	2632	1559
PARP11	335	866
PARP12	2866	1124
PARP14	4907	5767
PARP15	15	131
PARP16	859	778
PARP2	996	997
PARP3	268	2038
PARP4	3622	4953
PARP6	1989	1936
PARP8	279	990
PARP9	3900	2937
PARPBP	410	71
PARS2	505	274
PARVA	6424	25628
PARVB	2486	2527
PARVG	138	199
PASD1	0	0
PASK	711	264
PATE1	0	0
PATE2	1	1
PATE3	0	0
PATE4	8	3
PATL1	2351	2378
PATL2	24	46
PATZ1	1608	2326
PAWR	2569	1856
PAX1	1	27
PAX2	7	1
PAX3	20	71
PAX4	0	0
PAX5	3194	30
PAX6	21	9
PAX7	1	1
PAX8	18	257
PAX9	238	44
PAXBP1	2204	1492
PAXIP1	1980	585
PBDC1	1856	1009
PBK	435	15
PBLD	325	804
PBOV1	0	1
PBRM1	3263	5921
PBX1	6422	11716
PBX2	1587	1887
PBX3	1063	1731
PBX4	54	25
PBXIP1	13557	9849
PC	1393	16987
PCBD1	2530	3716
PCBD2	375	897
PCBP1	284	164
PCBP2	8193	8640
PCBP3	967	267
PCBP4	4338	1053
PCCA	296	3954
PCCB	3734	3738
PCDH1	4382	3325
PCDH10	28	49
PCDH11X	3	19
PCDH11Y	0	0
PCDH12	2160	2567
PCDH15	0	10
PCDH17	1058	296
PCDH18	1220	15839
PCDH19	77	1108
PCDH20	0	0
PCDH7	817	536
PCDH8	169	10
PCDH9	56	2512
PCDHA1	0	0
PCDHA10	59	63
PCDHA11	306	24
PCDHA12	39	8
PCDHA13	0	20
PCDHA2	16	16
PCDHA3	169	74
PCDHA4	16	19
PCDHA5	12	8
PCDHA6	3	23
PCDHA7	11	14
PCDHA8	0	2
PCDHA9	6	1
PCDHAC1	130	76
PCDHAC2	61	56
PCDHB1	4	1
PCDHB10	514	245
PCDHB11	372	410
PCDHB12	100	237
PCDHB13	597	288
PCDHB14	865	493
PCDHB15	58	407
PCDHB16	114	613
PCDHB2	612	150
PCDHB3	53	225
PCDHB4	114	521
PCDHB5	47	177
PCDHB6	1102	139
PCDHB7	222	254
PCDHB8	40	49
PCDHB9	312	180
PCDHGA1	55	31
PCDHGA10	135	262
PCDHGA11	83	113
PCDHGA12	237	374
PCDHGA2	86	277
PCDHGA3	31	188
PCDHGA4	67	248
PCDHGA5	28	221
PCDHGA6	96	211
PCDHGA7	28	102
PCDHGA8	76	14
PCDHGA9	68	280
PCDHGB1	26	48
PCDHGB2	52	174
PCDHGB3	20	72
PCDHGB4	29	151
PCDHGB5	1706	342
PCDHGB6	112	431
PCDHGB7	170	740
PCDHGC3	523	2313
PCDHGC4	14	12
PCDHGC5	41	8
PCED1A	741	1248
PCED1B	562	352
PCF11	2053	2865
PCGF1	1061	595
PCGF2	705	718
PCGF3	1379	1968
PCGF5	1726	5006
PCGF6	376	672
PCID2	2407	2000
PCIF1	2458	2236
PCK1	2	15269
PCK2	1437	4160
PCLO	468	1176
PCM1	4189	10039
PCMT1	2725	3303
PCMTD1	4093	8165
PCMTD2	2633	3908
PCNA	7074	2077
PCNP	5932	7796
PCNT	6376	2234
PCOLCE	3704	5344
PCOLCE2	315	18678
PCP2	1	5
PCP4	53	3
PCP4L1	0	75
PCSK1	10	52
PCSK1N	1178	4
PCSK2	2	53
PCSK4	31	69
PCSK5	474	3608
PCSK6	716	687
PCSK7	860	984
PCSK9	12	16
PCTP	2174	1336
PCYOX1	6929	33934
PCYOX1L	369	475
PCYT1A	4162	6201
PCYT1B	53	20
PCYT2	3631	3130
PDAP1	10718	3707
PDC	6	1
PDCD1	4	17
PDCD10	2233	1637
PDCD11	4638	1988
PDCD1LG2	141	601
PDCD2	2141	2493
PDCD2L	510	126
PDCD4	4819	7050
PDCD5	5188	1766
PDCD6	659	275
PDCD6IP	6524	11575
PDCD7	777	1481
PDCL	981	1395
PDCL2	0	0
PDCL3	2281	657
PDE10A	603	709
PDE11A	14	929
PDE12	1483	1768
PDE1A	141	906
PDE1B	167	2383
PDE1C	70	636
PDE2A	338	5550
PDE3A	373	1584
PDE3B	18	16689
PDE4A	942	2035
PDE4B	2140	1058
PDE4C	0	2
PDE4D	248	693
PDE4DIP	5400	8206
PDE5A	623	2016
PDE6A	7	10
PDE6B	43	111
PDE6C	13	34
PDE6D	900	586
PDE6G	16	18
PDE6H	0	0
PDE7A	6475	996
PDE7B	44	776
PDE8A	946	3614
PDE8B	43	590
PDE9A	2012	854
PDF	3	3
PDGFA	2257	921
PDGFB	11660	2146
PDGFC	3084	3504
PDGFD	694	8209
PDGFRA	1307	10604
PDGFRB	14711	20804
PDGFRL	324	7212
PDHA1	6394	6769
PDHA2	0	0
PDHB	1376	3306
PDHX	1335	3307
PDIA2	9	67
PDIA3	44073	17575
PDIA4	51642	4961
PDIA5	5140	1014
PDIA6	30774	5827
PDIK1L	726	735
PDILT	0	0
PDK1	5505	2324
PDK2	450	4294
PDK3	13025	2759
PDK4	2380	36224
PDLIM1	5213	7274
PDLIM2	1382	655
PDLIM3	1561	2760
PDLIM4	990	992
PDLIM5	7269	7592
PDLIM7	3484	1351
PDP1	2645	1648
PDP2	490	3974
PDPK1	1157	1605
PDPN	1688	1252
PDPR	1560	2326
PDRG1	2067	670
PDS5A	7327	7661
PDS5B	2084	3113
PDSS1	822	101
PDSS2	608	1288
PDX1	28	0
PDXDC1	32926	6426
PDXK	19292	19286
PDXP	9	5
PDYN	0	1
PDZD11	2335	1579
PDZD2	2556	19566
PDZD4	483	232
PDZD7	161	41
PDZD8	2346	2987
PDZD9	0	12
PDZK1	13	194
PDZK1IP1	4599	241
PDZRN3	1027	5052
PDZRN4	9	393
PEA15	26947	18872
PEAK1	2655	7433
PEAR1	317	2142
PEBP1	14598	22675
PEBP4	5	66
PECAM1	6633	42388
PECR	444	4622
PEF1	5817	3404
PEG10	2579	1637
PEG3	1879	622
PELI1	2309	1829
PELI2	471	1518
PELI3	874	673
PELO	1292	899
PELP1	4701	2247
PEMT	330	1077
PENK	1	120
PEPD	6482	5432
PER1	1181	4281
PER2	1102	2325
PER3	789	5226
PERM1	46	8
PERP	22234	6955
PES1	6546	2156
PET100	63	30
PET117	29	14
PEX1	750	1245
PEX10	482	558
PEX11A	2002	3641
PEX11B	1155	1355
PEX11G	70	181
PEX12	204	813
PEX13	3597	1534
PEX14	550	902
PEX16	855	905
PEX19	3255	14098
PEX2	2517	2850
PEX26	2463	2833
PEX3	513	625
PEX5	3136	4841
PEX5L	28	67
PEX6	1714	2164
PEX7	355	486
PF4	0	5
PF4V1	5	1
PFAS	1161	1064
PFDN1	2091	2515
PFDN2	7078	1591
PFDN4	1404	852
PFDN5	54	92
PFDN6	1513	794
PFKFB1	6	2722
PFKFB2	1491	777
PFKFB3	15726	57517
PFKFB4	3580	114
PFKL	36037	6227
PFKM	5856	2060
PFKP	19628	1388
PFN1	27213	9700
PFN2	8512	2705
PFN3	0	0
PFN4	51	59
PGA3	0	0
PGA4	0	0
PGA5	1	6
PGAM1	3304	2044
PGAM2	0	0
PGAM4	12	6
PGAM5	3888	1160
PGAP1	627	1144
PGAP2	1708	861
PGAP3	3232	978
PGBD1	302	331
PGBD2	1992	271
PGBD4	107	185
PGBD5	2351	155
PGC	2	2
PGD	7029	12055
PGF	1822	251
PGGT1B	671	1916
PGK1	97137	16404
PGK2	0	0
PGLS	1919	1661
PGLYRP1	1	3
PGLYRP2	0	33
PGLYRP3	8	0
PGLYRP4	34	1
PGM1	10026	12344
PGM2	5435	1354
PGM2L1	1549	610
PGM3	3073	2621
PGM5	22	3128
PGP	844	331
PGPEP1	611	1615
PGPEP1L	6	3
PGR	297	1341
PGRMC1	9998	11757
PGRMC2	4658	11414
PGS1	2366	868
PHACTR1	312	156
PHACTR2	1889	4017
PHACTR3	12	10
PHACTR4	2910	2033
PHAX	2443	2604
PHB2	7885	8328
PHC1	362	501
PHC2	8318	3910
PHC3	2110	4686
PHEX	112	334
PHF1	1384	2375
PHF10	3061	6883
PHF11	1108	1700
PHF12	1701	2319
PHF13	2017	2022
PHF14	3292	2363
PHF19	908	1826
PHF2	1941	3864
PHF20	4804	3267
PHF20L1	4322	2250
PHF21A	2152	2311
PHF21B	0	4
PHF23	3409	1075
PHF3	2707	8803
PHF5A	1951	1043
PHF6	2210	1319
PHF7	114	508
PHF8	2824	1877
PHGDH	18194	6046
PHGR1	0	2
PHIP	3335	5079
PHKA1	2685	742
PHKA2	1532	3274
PHKB	2714	7165
PHKG1	155	386
PHKG2	1010	732
PHLDA1	6422	1303
PHLDA2	885	68
PHLDA3	2032	6418
PHLDB1	4554	15963
PHLDB2	1916	7672
PHLDB3	1705	100
PHLPP1	1724	1560
PHLPP2	848	1194
PHOSPHO1	20	18
PHOSPHO2	58	125
PHOX2A	0	1
PHOX2B	0	0
PHPT1	2454	1693
PHRF1	3004	1517
PHTF1	727	674
PHTF2	2280	1449
PHYH	1974	5625
PHYHD1	157	1296
PHYHIP	109	652
PHYHIPL	59	14
PHYKPL	674	2450
PI15	57	3226
PI16	2	17779
PI3	399	65
PI4K2A	1700	1524
PI4K2B	1111	926
PI4KA	5143	4460
PI4KB	10813	4438
PIANP	13	18
PIAS1	1799	2186
PIAS2	1912	1691
PIAS3	2516	1596
PIAS4	1217	661
PIBF1	737	1016
PICALM	10776	18599
PICK1	2289	555
PID1	448	4251
PIDD1	268	364
PIEZO1	10182	11616
PIEZO2	383	904
PIF1	642	25
PIFO	77	193
PIGA	1323	429
PIGB	308	558
PIGC	2207	1532
PIGF	304	352
PIGG	1411	2080
PIGH	358	700
PIGK	2009	3387
PIGL	285	511
PIGM	2013	1519
PIGN	2368	1698
PIGO	3116	1549
PIGP	432	2185
PIGQ	1444	1095
PIGR	24	4246
PIGS	3198	4880
PIGT	13538	8798
PIGU	1893	909
PIGV	374	1360
PIGW	560	261
PIGX	1119	1624
PIGY	0	0
PIGZ	255	889
PIH1D1	7590	1883
PIH1D2	21	64
PIK3AP1	3017	997
PIK3C2A	2817	6447
PIK3C2B	2229	3274
PIK3C2G	165	272
PIK3C3	1249	2733
PIK3CA	1691	4758
PIK3CB	4900	4067
PIK3CD	494	723
PIK3CG	166	545
PIK3IP1	1088	5557
PIK3R1	2948	29500
PIK3R2	0	1
PIK3R3	6044	4268
PIK3R4	2294	2688
PIK3R5	152	384
PIK3R6	183	71
PIKFYVE	1052	4312
PILRA	232	208
PILRB	144	206
PIM1	1856	2384
PIM2	821	606
PIM3	7029	1987
PIN1	1249	1312
PIN4	1360	820
PINK1	1296	1704
PINLYP	40	167
PINX1	164	169
PIP	46	6032
PIP4K2A	2374	2357
PIP4K2B	3596	8217
PIP4K2C	3335	1673
PIP5K1A	7304	2415
PIP5K1B	96	275
PIP5K1C	2591	2602
PIP5KL1	49	30
PIPOX	14	50
PIR	670	1480
PIRT	0	2
PISD	1156	4022
PITHD1	2916	2780
PITPNA	5704	4618
PITPNB	3753	3805
PITPNC1	2834	1594
PITPNM1	1070	547
PITPNM2	1017	879
PITPNM3	1829	334
PITRM1	9214	4367
PITX1	1614	85
PITX2	99	93
PITX3	0	4
PIWIL1	7	0
PIWIL2	11	252
PIWIL3	0	0
PIWIL4	442	235
PJA1	2610	4456
PJA2	3657	14162
PKD1	2031	4941
PKD1L1	19	192
PKD1L2	266	1504
PKD1L3	4	17
PKD2	1190	5129
PKD2L1	40	9
PKD2L2	5	11
PKDCC	297	2161
PKDREJ	6	66
PKHD1	11	12
PKHD1L1	12	319
PKIA	155	580
PKIB	497	181
PKIG	1309	2685
PKLR	3	0
PKM	106239	19376
PKMYT1	3379	18
PKN1	4844	5301
PKN2	2452	5264
PKN3	431	932
PKNOX1	1204	1137
PKNOX2	38	136
PKP1	4881	1082
PKP2	2371	682
PKP3	8104	399
PKP4	7423	5824
PLA1A	51	145
PLA2G10	24	11
PLA2G12A	792	2346
PLA2G12B	0	0
PLA2G15	935	1082
PLA2G1B	4	2
PLA2G2A	0	4419
PLA2G2C	76	14
PLA2G2D	6	42
PLA2G2E	0	0
PLA2G2F	0	0
PLA2G3	1	3
PLA2G4A	830	1620
PLA2G4B	4	2
PLA2G4C	1010	428
PLA2G4D	0	1
PLA2G4E	5	0
PLA2G4F	412	18
PLA2G5	127	281
PLA2G6	784	813
PLA2G7	823	128
PLA2R1	757	3185
PLAA	2598	2162
PLAC1	21	0
PLAC4	14	16
PLAC8	72	49
PLAC8L1	22	12
PLAC9	81	1527
PLAG1	17	91
PLAGL1	296	3546
PLAGL2	2941	991
PLAT	2061	7079
PLAU	5371	1451
PLAUR	6343	424
PLB1	62	225
PLBD1	1622	2429
PLBD2	4701	7993
PLCB1	1784	1441
PLCB2	259	431
PLCB3	3443	1438
PLCB4	2197	1165
PLCD1	1134	1840
PLCD3	1555	2119
PLCD4	14	85
PLCE1	1037	1636
PLCG1	6188	5124
PLCG2	934	2023
PLCH1	1938	106
PLCH2	201	273
PLCL1	198	671
PLCL2	302	1500
PLCXD1	885	1362
PLCXD2	117	75
PLCXD3	77	491
PLCZ1	3	3
PLD1	1184	2351
PLD2	2649	1760
PLD3	17542	11252
PLD4	13	94
PLD5	11	48
PLD6	413	199
PLEC	40652	13135
PLEK	350	1853
PLEK2	386	37
PLEKHA1	2916	2362
PLEKHA2	1872	2061
PLEKHA3	990	1473
PLEKHA4	4028	1844
PLEKHA5	1381	2275
PLEKHA6	840	1412
PLEKHA7	1664	1022
PLEKHA8	1789	893
PLEKHB1	1697	362
PLEKHB2	9789	5029
PLEKHD1	29	9
PLEKHF1	1753	968
PLEKHF2	2152	1586
PLEKHG1	3401	1608
PLEKHG2	1708	1413
PLEKHG3	3341	1579
PLEKHG4	1349	624
PLEKHG4B	4513	152
PLEKHG5	1279	2291
PLEKHG6	2901	3365
PLEKHG7	0	1
PLEKHH1	380	517
PLEKHH2	115	1445
PLEKHH3	5045	849
PLEKHJ1	2386	1420
PLEKHM1	1222	2198
PLEKHM2	3122	3489
PLEKHM3	738	2827
PLEKHN1	466	22
PLEKHO1	3058	907
PLEKHO2	1216	2718
PLEKHS1	4418	547
PLET1	5	0
PLG	3	0
PLGLB1	5	9
PLGLB2	2	7
PLGRKT	527	811
PLIN1	97	195102
PLIN2	15327	9451
PLIN3	4382	1565
PLIN4	88	258138
PLIN5	62	1650
PLK1	2975	77
PLK2	3285	2957
PLK3	573	338
PLK4	787	152
PLK5	4	0
PLLP	163	384
PLN	404	993
PLOD1	26908	6959
PLOD2	12027	9348
PLOD3	20629	2971
PLP1	21	748
PLP2	4973	2060
PLRG1	3793	3221
PLS1	655	165
PLS3	15256	18354
PLSCR1	2917	2174
PLSCR2	14	6
PLSCR3	10	3
PLSCR4	410	7739
PLSCR5	2	0
PLTP	22712	14414
PLVAP	7731	18004
PLXDC1	1533	1617
PLXDC2	6694	11779
PLXNA1	12357	3980
PLXNA2	3331	2459
PLXNA3	4162	2139
PLXNA4	113	14070
PLXNB1	6967	2917
PLXNB2	28703	9902
PLXNB3	1616	481
PLXNC1	824	1723
PLXND1	7282	15380
PM20D1	2	79
PM20D2	541	811
PMAIP1	1188	46
PMCH	0	0
PMEL	64	131
PMEPA1	32006	16603
PMF1	1635	416
PMF1-BGLAP	0	0
PMFBP1	34	8
PML	4605	4959
PMM1	1016	2084
PMM2	649	291
PMP2	0	35
PMP22	14839	19508
PMPCA	2832	2363
PMPCB	3011	4020
PMS1	922	908
PMS2	1002	800
PMVK	4541	1588
PNCK	201	18
PNISR	1941	6325
PNKD	3048	1869
PNKP	1971	742
PNLDC1	4	20
PNLIP	0	0
PNLIPRP1	8	0
PNLIPRP2	64	0
PNLIPRP3	1	24
PNMA1	1750	4099
PNMA2	121	317
PNMA3	335	44
PNMA5	0	1
PNMA6A	208	107
PNMT	14	32
PNN	4274	3900
PNO1	2134	887
PNOC	5	6
PNP	2134	706
PNPLA1	9	1
PNPLA2	1649	44427
PNPLA3	299	104
PNPLA4	757	1539
PNPLA5	2	0
PNPLA6	3007	1727
PNPLA7	72	1801
PNPLA8	2158	2926
PNPO	497	917
PNPT1	4355	1530
PNRC1	4391	6003
PNRC2	3056	4637
POC1A	1316	109
POC1B	496	1021
POC1B-GALNT4	5	5
POC5	291	407
PODN	1375	16957
PODNL1	464	53
PODXL	12068	9803
PODXL2	6732	395
POF1B	774	86
POFUT1	9149	5272
POFUT2	2359	933
POGK	5912	2828
POGLUT1	553	869
POGZ	8051	4607
POLA1	2062	1249
POLA2	239	102
POLB	1435	661
POLD1	3309	375
POLD2	11057	3258
POLD3	884	1183
POLD4	178	206
POLDIP2	6316	5692
POLDIP3	5875	5125
POLE	2984	1851
POLE2	359	80
POLE3	3668	2692
POLE4	1709	1639
POLG	1985	2661
POLG2	509	431
POLH	1326	1194
POLI	538	3410
POLK	377	1734
POLL	828	1257
POLM	936	705
POLN	13	147
POLQ	952	55
POLR1A	7421	2973
POLR1B	3754	1693
POLR1C	995	512
POLR1D	3315	4454
POLR1E	1610	1602
POLR2A	13214	10613
POLR2B	5409	5387
POLR2C	3291	3283
POLR2D	2014	1306
POLR2E	5863	10171
POLR2F	7619	1135
POLR2G	6333	2252
POLR2H	2093	983
POLR2I	428	98
POLR2J	2423	994
POLR2J2	8	6
POLR2J3	15	13
POLR2K	4224	2002
POLR2L	4258	5967
POLR2M	591	2273
POLR3A	1879	1443
POLR3B	845	875
POLR3C	2415	1661
POLR3D	1142	992
POLR3E	1552	1441
POLR3F	881	812
POLR3G	212	161
POLR3GL	307	1825
POLR3H	1473	982
POLR3K	1118	401
POLRMT	1950	1280
POM121	3213	1781
POM121C	3684	1867
POM121L12	0	0
POM121L2	9	1
POMC	165	62
POMGNT1	6178	2971
POMGNT2	1251	1040
POMK	3140	1201
POMP	4244	4028
POMT1	982	1484
POMT2	1132	1053
POMZP3	211	312
PON1	29	8
PON2	7510	2930
PON3	821	171
POP1	2935	291
POP4	3057	1568
POP5	823	929
POP7	2471	630
POPDC2	224	184
POPDC3	73	112
POR	17261	5423
PORCN	933	451
POSTN	89053	7066
POT1	2116	1301
POTEA	0	0
POTEB2	0	0
POTEB3	0	0
POTEC	1	0
POTED	0	0
POTEE	2	3
POTEF	8	0
POTEG	0	0
POTEH	0	0
POTEI	6	1
POTEJ	3	1
POTEM	2	0
POU1F1	0	4
POU2AF1	23	172
POU2F1	1991	1905
POU2F2	389	240
POU2F3	78	63
POU3F1	3	11
POU3F2	17	1
POU3F3	0	4
POU3F4	0	2
POU4F1	1	0
POU4F2	0	0
POU4F3	4	2
POU5F1	73	29
POU5F1B	14	9
POU5F2	1	3
POU6F1	383	1135
POU6F2	5	75
PP2D1	20	15
PPA1	12250	9353
PPA2	2217	2656
PPAN	269	53
PPAN-P2RY11	0	0
PPARA	1781	5020
PPARD	3005	1813
PPARG	390	15174
PPARGC1A	64	302
PPARGC1B	679	839
PPAT	1009	502
PPBP	4	6
PPCDC	642	410
PPCS	1815	3315
PPDPF	27746	5776
PPEF1	166	10
PPEF2	1	1
PPFIA1	2242	3370
PPFIA2	12	41
PPFIA3	2959	150
PPFIA4	660	25
PPFIBP1	5993	6076
PPFIBP2	1932	1396
PPHLN1	2679	1871
PPIA	31812	11335
PPIAL4A	3	0
PPIAL4F	1	0
PPIAL4G	1	0
PPIB	9265	3759
PPIC	2530	2041
PPID	1786	2097
PPIE	2773	2542
PPIF	4962	2600
PPIG	3456	4706
PPIH	1414	505
PPIL1	1072	722
PPIL2	1741	1446
PPIL3	241	988
PPIL4	1132	1593
PPIL6	116	136
PPIP5K1	764	647
PPIP5K2	1495	2183
PPL	4473	13018
PPM1A	2362	7595
PPM1B	1187	1555
PPM1D	614	1136
PPM1E	33	11
PPM1F	2184	2962
PPM1G	13524	4181
PPM1H	2619	660
PPM1J	169	20
PPM1K	489	1323
PPM1L	1157	3352
PPM1M	719	1854
PPM1N	31	25
PPME1	3196	2013
PPOX	1307	598
PPP1CA	6441	3123
PPP1CB	23325	14379
PPP1CC	7714	10529
PPP1R10	4727	2677
PPP1R11	3070	2539
PPP1R12A	2283	4173
PPP1R12B	1697	8705
PPP1R12C	3508	3072
PPP1R13B	1516	1438
PPP1R13L	10846	699
PPP1R14A	788	993
PPP1R14B	7129	1073
PPP1R14C	2367	81
PPP1R14D	11	5
PPP1R15A	7817	2075
PPP1R15B	5478	4285
PPP1R16A	1116	1116
PPP1R16B	170	2667
